"Player","Matches played","Attempts on target","Attempts off target","Attempts blocked","Attempts against woodwork","Team"
"Stephan Lichtsteiner",4,1,0,1,0,"Switzerland"
"Roman Hubník",3,1,0,0,0,"Czech Republic"
"Giorgio Chiellini",4,1,0,0,0,"Italy"
"Amir Abrashi",3,1,0,2,0,"Albania"
"Jordi Alba",4,1,0,1,0,"Spain"
"William Carvalho",4,1,0,0,0,"Portugal"
"Leonardo Bonucci",5,1,0,0,0,"Italy"
"Nathaniel Clyne",1,1,0,0,0,"England"
"Ladislav Krejčí",3,1,0,0,0,"Czech Republic"
"Stephan El Shaarawy",1,1,0,0,0,"Italy"
"Shkodran Mustafi",1,1,0,0,0,"Germany"
"Yevhen Khacheridi",3,1,0,0,0,"Ukraine"
"Arnor Ingvi Traustason",2,1,0,0,0,"Iceland"
"Dániel Böde",2,1,0,0,0,"Hungary"
"Attila Fiola",1,1,0,0,0,"Hungary"
"Anthony Martial",2,1,0,2,0,"France"
"Tin Jedvaj",1,1,0,0,0,"Croatia"
"Raphael Guerreiro",3,1,0,0,0,"Portugal"
"Renato Sanches",4,1,1,2,0,"Portugal"
"Ondrej Duda",3,1,1,0,0,"Slovakia"
"Alfred Finnbogason",3,1,1,0,0,"Iceland"
"Sverrir Ingason",2,1,1,0,0,"Iceland"
"Denis Alibec",2,1,1,1,0,"Romania"
"Ciro Immobile",2,1,1,0,0,"Italy"
"Pavel Kade�<U+0099>ábek",3,1,1,1,0,"Czech Republic"
"Burak Yılmaz",3,1,1,0,0,"Turkey"
"Johan Djourou",4,1,1,1,0,"Switzerland"
"Jaroslav Plašil",3,1,1,0,0,"Czech Republic"
"Vasili Berezutski",3,1,1,0,0,"Russia"
"Sergei Ignashevich",3,1,1,1,0,"Russia"
"Bastian Schweinsteiger",4,1,1,0,0,"Germany"
"João Moutinho",4,1,1,1,0,"Portugal"
"Stephen Ward",3,1,1,1,0,"Republic of Ireland"
"Bruno Soriano",2,1,1,0,0,"Spain"
"Luka Modri�<U+0087>",3,1,1,0,0,"Croatia"
"Eren Derdiyok",1,1,1,1,0,"Switzerland"
"Ádám Pintér",3,1,1,0,0,"Hungary"
"Yevhen Seleznyov",2,1,1,0,0,"Ukraine"
"Albin Ekdal",3,1,1,0,0,"Sweden"
"Migjen Basha",1,1,1,0,0,"Albania"
"Gabriel Torje",3,1,1,2,0,"Romania"
"Julian Baumgartlinger",3,1,1,0,0,"Austria"
"Marcus Berg",3,1,1,0,0,"Sweden"
"Jérôme Boateng",5,1,2,1,0,"Germany"
"Blaise Matuidi",5,1,2,1,0,"France"
"Aiden McGeady",3,1,2,0,0,"Republic of Ireland"
"Johann Gudmundsson",5,1,2,0,1,"Iceland"
"Chris Smalling",4,1,2,0,0,"England"
"Kingsley Coman",5,1,2,1,0,"France"
"Ovidiu Hoban",3,1,2,2,0,"Romania"
"Bartosz Kapustka",4,1,2,3,0,"Poland"
"James McClean",4,1,3,0,0,"Republic of Ireland"
"Denis Glushakov",3,1,3,0,0,"Russia"
"David Silva",4,1,3,4,0,"Spain"
"Milan Badelj",4,1,3,0,0,"Croatia"
"Gary Cahill",4,1,3,1,0,"England"
"Marek Hamšík",4,1,4,5,0,"Slovakia"
"Nolito",4,1,4,2,0,"Spain"
"Olexandr Zinchenko",3,1,4,0,0,"Ukraine"
"Fedor Smolov",3,1,5,2,0,"Russia"
"Sergio Ramos",4,1,6,2,0,"Spain"
"Zlatan Ibrahimovi�<U+0087>",3,1,6,5,0,"Sweden"
"Marcelo Brozovi�<U+0087>",3,1,7,1,0,"Croatia"
"François Moubandje",0,0,0,0,0,"Switzerland"
"Dénes Dibusz",0,0,0,0,0,"Hungary"
"Lucas Vázquez",1,0,0,0,0,"Spain"
"Shani Tarashaj",1,0,0,0,0,"Switzerland"
"Karol Linetty",0,0,0,0,0,"Poland"
"Mariusz St�<U+0099>pi�<U+0084>ski",0,0,0,0,0,"Poland"
"Patrik Hrošovský",2,0,0,0,0,"Slovakia"
"George Williams",0,0,0,0,0,"Wales"
"Héctor Bellerín",0,0,0,0,0,"Spain"
"Robin Olsen",0,0,0,0,0,"Sweden"
"Jonathan Tah",0,0,0,0,0,"Germany"
"Nico Elvedi",0,0,0,0,0,"Switzerland"
"Victor Lindelöf",3,0,0,0,0,"Sweden"
"Paddy McNair",2,0,0,0,0,"Northern Ireland"
"Kevin Wimmer",1,0,0,0,0,"Austria"
"Ján Novota",0,0,0,0,0,"Slovakia"
"Filip Starzy�<U+0084>ski",1,0,0,0,0,"Poland"
