"Player","Matches played","Attempts on target","Attempts off target","Attempts blocked","Attempts against woodwork","Team"
"Jack Wilshere",3,0,1,0,0,"England"
"Cédric",2,0,1,0,0,"Portugal"
"Cenk Tosun",2,0,1,0,0,"Turkey"
"Pedro Rodríguez",2,0,1,0,0,"Spain"
"Sergio Busquets",4,0,1,0,0,"Spain"
"Granit Xhaka",4,0,1,3,0,"Switzerland"
"John Guidetti",3,0,1,0,0,"Sweden"
"Jonathan Williams",3,0,1,0,0,"Wales"
"André Schürrle",3,0,1,1,0,"Germany"
"Emre Mor",2,0,1,1,0,"Turkey"
"Aleksandr Golovin",3,0,1,1,0,"Russia"
"Ádám Nagy",3,0,1,0,0,"Hungary"
"Mihai Pintilii",2,0,1,1,0,"Romania"
"Raheem Sterling",3,0,1,1,0,"England"
"Mattia De Sciglio",4,0,1,1,0,"Italy"
"Marko Pjaca",3,0,1,0,0,"Croatia"
"Milan Škriniar",2,0,1,0,0,"Slovakia"
"Divock Origi",2,0,2,0,0,"Belgium"
"Viktor Kovalenko",3,0,2,0,0,"Ukraine"
"Marcel Sabitzer",3,0,2,0,0,"Austria"
"Olcay �<U+009E>ahan",2,0,2,2,0,"Turkey"
"Joshua Kimmich",3,0,2,0,0,"Germany"
"Breel Embolo",4,0,2,3,0,"Switzerland"
"Micha�<U+0082> Pazdan",5,0,2,0,0,"Poland"
"Martin Hinteregger",3,0,2,4,0,"Austria"
"Laurent Koscielny",5,0,2,1,0,"France"
"Ricardo Carvalho",3,0,2,0,0,"Portugal"
"Roland Juhász",3,0,2,0,0,"Hungary"
"Kyle Lafferty",3,0,2,0,0,"Northern Ireland"
"Ján �<U+008E>urica",4,0,2,0,0,"Slovakia"
"Łukasz Piszczek",4,0,2,2,0,"Poland"
"Pavel Mamaev",3,0,2,0,0,"Russia"
"Marouane Fellaini",3,0,2,0,0,"Belgium"
"Cristian S�<U+0083>punaru",3,0,2,0,1,"Romania"
"Kári Árnason",5,0,2,0,0,"Iceland"
"Grzegorz Krychowiak",5,0,2,0,0,"Poland"
"Moussa Sissoko",4,0,2,1,0,"France"
"Ciaran Clark",2,0,2,0,0,"Republic of Ireland"
"Martin Harnik",2,0,2,0,0,"Austria"
"Arda Turan",3,0,3,1,0,"Turkey"
"Vyacheslav Shevchuk",2,0,3,0,0,"Ukraine"
"Tomáš Sivok",3,0,3,1,1,"Czech Republic"
"Darijo Srna",4,0,3,1,1,"Croatia"
"João Mário",5,0,3,3,0,"Portugal"
"Aritz Aduriz",3,0,3,1,0,"Spain"
"Mërgim Mavraj",3,0,3,0,0,"Albania"
"Shane Duffy",2,0,3,0,0,"Republic of Ireland"
"Krzysztof M�<U+0085>czy�<U+0084>ski",4,0,3,3,0,"Poland"
"Conor Washington",4,0,3,0,0,"Northern Ireland"
"Jonas Hector",5,0,3,0,0,"Germany"
"Thomas Meunier",4,0,3,1,0,"Belgium"
"Marco Parolo",4,0,3,1,1,"Italy"
"Florin Andone",3,0,3,0,1,"Romania"
"Hakan �<U+0087>alhano�<U+009F>lu",2,0,4,1,0,"Turkey"
"Nicolae Stanciu",2,0,4,1,0,"Romania"
"Marc Janko",2,0,4,0,0,"Austria"
"Kamil Grosicki",5,0,4,3,0,"Poland"
"Domagoj Vida",3,0,6,0,0,"Croatia"
"Dele Alli",4,0,7,5,0,"England"
"Blerim Džemaili",4,0,8,3,1,"Switzerland"
