"Player","PA","PC","PC %","Team"
"Peter Pekarík",119,100,"84%","Slovakia"
"Ivan Strini�<U+0087>",118,97,"82%","Croatia"
"Alessandro Florenzi",118,85,"72%","Italy"
"Victor Lindelöf",117,100,"85%","Sweden"
"Michael McGovern",117,48,"41%","Northern Ireland"
"Nolito",116,101,"87%","Spain"
"Daniele De Rossi",115,98,"85%","Italy"
"Yevhen Konoplyanka",115,97,"84%","Ukraine"
"Mattia De Sciglio",115,82,"71%","Italy"
"Graziano Pellè",115,75,"65%","Italy"
"Stephan Lichtsteiner",114,93,"82%","Switzerland"
"Arda Turan",113,99,"88%","Turkey"
"Wayne Hennessey",113,75,"66%","Wales"
"Vlad Chiriche�<U+009F>",112,99,"88%","Romania"
"Danijel Subaši�<U+0087>",112,75,"67%","Croatia"
"Drago�<U+009F> Grigore",111,98,"88%","Romania"
"Martin Olsson",111,97,"87%","Sweden"
"Mërgim Mavraj",109,90,"83%","Albania"
"Ivan Rakiti�<U+0087>",109,89,"82%","Croatia"
"Thibaut Courtois",109,75,"69%","Belgium"
"Oliver Norwood",108,86,"80%","Northern Ireland"
"Ansi Agolli",108,86,"80%","Albania"
"Marcelo Brozovi�<U+0087>",107,85,"79%","Croatia"
"Pavel Mamaev",106,96,"91%","Russia"
"Mehmet Topal",105,99,"94%","Turkey"
"Elseid Hysaj",105,82,"78%","Albania"
"Joe Hart",104,90,"87%","England"
"Hakan Balta",104,89,"86%","Turkey"
"Roman Hubník",104,88,"85%","Czech Republic"
"Ivan Periši�<U+0087>",104,82,"79%","Croatia"
"Neil Taylor",104,79,"76%","Wales"
"Artem Fedetskiy",104,79,"76%","Ukraine"
"Johann Gudmundsson",104,76,"73%","Iceland"
"Hugo Lloris",103,80,"78%","France"
"Etrit Berisha",103,62,"60%","Albania"
"Tomáš Sivok",102,94,"92%","Czech Republic"
"Robert Almer",102,86,"84%","Austria"
"Birkir Bjarnason",102,85,"83%","Iceland"
"Zlatan Ibrahimovi�<U+0087>",102,76,"75%","Sweden"
